Frequency (Hz)	Level (dB)
19638.281250	-125.848419
19681.347656	-125.286736
19724.414063	-124.448090
19767.480469	-124.508438
19810.546875	-125.721024
19853.613281	-124.910118
19896.679688	-125.017029
19939.746094	-124.571411
19982.812500	-124.219086
20025.878906	-124.327202
20068.945313	-125.435516
20112.011719	-125.904366
20155.078125	-125.667542
20198.144531	-124.995392
20241.210938	-123.663559
20284.277344	-125.059349
20327.343750	-126.255783
20370.410156	-125.781113
20413.476563	-125.168198
20456.542969	-125.087112
20499.609375	-124.167007
20542.675781	-124.821251
20585.742188	-124.455345
20628.808594	-124.213844
20671.875000	-124.468727
20714.941406	-124.664757
20758.007813	-124.244370
20801.074219	-125.847115
20844.140625	-125.955078
20887.207031	-125.275749
20930.273438	-125.443291
20973.339844	-125.058334
21016.406250	-123.920235
21059.472656	-124.372093
21102.539063	-124.857925
21145.605469	-124.594215
21188.671875	-124.684425
21231.738281	-125.728882
21274.804688	-125.603958
21317.871094	-124.861885
21360.937500	-125.086250
21404.003906	-125.182190
21447.070313	-126.165703
21490.136719	-124.230644
21533.203125	-123.771530
21576.269531	-124.480301
21619.335938	-125.261261
21662.402344	-125.489273
21705.468750	-124.910294
21748.535156	-125.434052
21791.601563	-124.166054
21834.667969	-124.432648
21877.734375	-123.698174
21920.800781	-123.763588
21963.867188	-125.439911
22006.933594	-125.236458
